,name,section
A008870,금비,1
A008930,한미사이언스,1
A008970,동양철관,1
A009070,KCTC,1
A009140,경인전자,1
A009150,삼성전기,1
A009155,삼성전기우,1
A009160,SIMPAC,1
A009180,한솔로지스틱스,1
A009190,대양금속,1
A009200,무림페이퍼,1
A009240,한샘,1
A009270,신원,1
A009275,신원우,1
A009290,광동제약,1
A009310,참엔지니어링,1
A009320,대우부품,1
A009410,태영건설,1
A009415,태영건설우,1
A009420,한올바이오파마,1
A009440,KC그린홀딩스,1
A009450,경동나비엔,1
A009460,한창제지,1
A009470,삼화전기,1
A009540,현대중공업,1
A009580,무림P&P,1
A009680,모토닉,1
A009770,삼정펄프,1
A009810,엔케이물산,1
A009830,한화케미칼,1
A009835,한화케미칼우,1
A009970,영원무역홀딩스,1
A010040,한국내화,1
A010050,우리종금,1
A010060,OCI,1
A010100,한국프랜지,1
A010120,LS산전,1
A010130,고려아연,1
A010140,삼성중공업,1
A010145,삼성중공우,1
A010400,우진아이엔에스,1
A010420,한솔PNS,1
A010580,지코,1
A010600,웰바이오텍,1
A010620,현대미포조선,1
A010640,진양폴리,1
A010660,화천기계,1
A010690,화신,1
A010770,평화홀딩스,1
A010780,아이에스동서,1
A010820,퍼스텍,1
A010950,S-Oil,1
A010955,S-Oil우,1
A010960,삼호개발,1
A011000,진원생명과학,1
A011070,LG이노텍,1
A011090,에넥스,1
A011150,CJ씨푸드,1
A011155,CJ씨푸드1우,1
A011160,두산건설,1
A011170,롯데케미칼,1
A011200,현대상선,1
A011210,현대위아,1
A011230,삼화전자,1
A011280,태림포장,1
A011300,성안,1
A011330,유니켐,1
A011390,부산산업,1
A011420,갤럭시아에스엠,1
A011500,한농화성,1
A011690,유양디앤유,1
A011700,한신기계,1
A011760,현대상사,1
A011780,금호석유,1
A011785,금호석유우,1
A011790,SKC,1
A011810,STX,1
A011930,신성이엔지,1
A012030,DB,1
A012160,영흥철강,1
A012170,키위미디어그룹,1
A012200,계양전기,1
A012205,계양전기우,1
A012280,영화금속,1
A012320,경동인베스트,1
A012330,현대모비스,1
A012450,한화에어로스페이스,1
A012510,더존비즈온,1
A012600,청호컴넷,1
A012610,경인양행,1
A012630,HDC,1
A012690,모나리자,1
A012750,에스원,1
A012800,대창,1
A013000,세우글로벌,1
A013360,일성건설,1
A013520,화승알앤에이,1
A013570,디와이,1
A013580,계룡건설,1
A013700,까뮤이앤씨,1
A013870,지엠비코리아,1
A014130,한익스프레스,1
A014160,대영포장,1
A014280,금강공업,1
A014285,금강공업우,1
A014440,영보화학,1
A014530,극동유화,1
A014580,백광소재,1
A014680,한솔케미칼,1
A014710,사조씨푸드,1
A014790,한라,1
A014820,동원시스템즈,1
A014825,동원시스템즈우,1
A014830,유니드,1
A014910,성문전자,1
A014915,성문전자우,1
A014990,인디에프,1
A015020,이스타코,1
A015230,대창단조,1
A015260,에이엔피,1
A015350,부산가스,1
A015360,예스코홀딩스,1
A015540,메디파트너생명공학,1
A015590,큐로,1
A015760,한국전력,1
A015860,일진홀딩스,1
A015890,태경산업,1
A016090,대현,1
A016360,삼성증권,1
A016380,동부제철,1
A016385,동부제철우,1
A016450,한세예스24홀딩스,1
A016580,환인제약,1
A016590,신대양제지,1
A016610,DB금융투자,1
A016710,대성홀딩스,1
A016740,두올,1
A016800,퍼시스,1
A016880,웅진,1
A017040,광명전기,1
A017180,명문제약,1
A017370,우신시스템,1
A017390,서울가스,1
A017550,수산중공업,1
A017670,SK텔레콤,1
A017800,현대엘리베이,1
A017810,풀무원,1
A017900,광전자,1
A017940,E1,1
A017960,한국카본,1
A018250,애경산업,1
A018260,삼성에스디에스,1
A018470,조일알미늄,1
A018500,동원금속,1
A018670,SK가스,1
A018880,한온시스템,1
A019170,신풍제약,1
A019175,신풍제약우,1
A019180,티에이치엔,1
A019440,세아특수강,1
A019490,하이트론,1
A019680,대교,1
A019685,대교우B,1
A020000,한섬,1
A020120,키다리스튜디오,1
A020150,일진머티리얼즈,1
A020560,아시아나항공,1
A020760,일진디스플,1
A021050,서원,1
A021240,코웨이,1
A021820,세원정공,1
A023000,삼원강재,1
A023150,MH에탄올,1
A023350,한국종합기술,1
A023450,동남합성,1
A023530,롯데쇼핑,1
A023590,다우기술,1
A023800,인지컨트롤스,1
A023810,인팩,1
A023960,에쓰씨엔지니어링,1
A024070,WISCOM,1
A024090,디씨엠,1
A024110,기업은행,1
A024720,한국콜마홀딩스,1
A024890,대원화성,1
A024900,덕양산업,1
A025000,KPX케미칼,1
A025530,SJM홀딩스,1
A025540,한국단자,1
A025560,미래산업,1
A025620,제이준코스메틱,1
A025750,한솔홈데코,1
A025820,이구산업,1
A025860,남해화학,1
A025890,한국주강,1
A026890,디피씨,1
A026940,부국철강,1
A026960,동서,1
A027390,한화갤러리아타임월드,1
A027410,BGF,1
A027740,마니커,1
A027970,세하,1
A028050,삼성엔지니어링,1
A028100,동아지질,1
A028260,삼성물산,1
A02826K,삼성물산우B,1
A028670,팬오션,1
A029460,케이씨,1
A029530,신도리코,1
A029780,삼성카드,1
A030000,제일기획,1
A030200,KT,1
A030210,KTB투자증권,1
A030610,교보증권,1
A030720,동원수산,1
A030790,동양네트웍스,1
A031430,신세계인터내셔날,1
A031440,신세계푸드,1
A031820,콤텍시스템,1
A032350,롯데관광개발,1
A032560,황금에스티,1
A032640,LG유플러스,1
A032830,삼성생명,1
A033180,필룩스,1
A033240,자화전자,1
A033250,체시스,1
A033270,유나이티드제약,1
A033530,세종공업,1
A033660,아주캐피탈,1
A033780,KT&G,1
A033920,무학,1
A034020,두산중공업,1
A034120,SBS,1
A034220,LG디스플레이,1
A034300,신세계건설,1
A034310,NICE,1
A034590,인천도시가스,1
A034730,SK,1
A03473K,SK우,1
A034830,한국토지신탁,1
A035000,지투알,1
