,name,section
A065350,신성델타테크,1
A065420,에스아이리소스,1
A065440,이루온,1
A065450,빅텍,1
A065500,오리엔트정공,1
A065510,휴비츠,1
A065530,전파기지국,1
A065560,녹원씨엔아이,1
A065570,삼영이엔씨,1
A065620,제낙스,1
A065650,메디프론,1
A065660,안트로젠,1
A065680,우주일렉트로,1
A065690,대진디엠피,1
A065710,서호전기,1
A065770,CS,1
A065940,바이오빌,1
A065950,웰크론,1
A066110,한프,1
A066130,하츠,1
A066310,큐에스아이,1
A066360,체리부로,1
A066410,버킷스튜디오,1
A066430,와이오엠,1
A066590,우수AMS,1
A066620,국보디자인,1
A066670,디스플레이텍,1
A066700,테라젠이텍스,1
A066790,씨씨에스,1
A066900,디에이피,1
A066910,손오공,1
A066970,엘앤에프,1
A066980,브레인콘텐츠,1
A067000,조이시티,1
A067010,이씨에스,1
A067080,대화제약,1
A067160,아프리카TV,1
A067170,오텍,1
A067280,멀티캠퍼스,1
A067290,JW신약,1
A067310,하나마이크론,1
A067390,아스트,1
A067570,엔브이에이치코리아,1
A067630,에이치엘비생명과학,1
A067730,로지시스,1
A067770,세진티에스,1
A067900,와이엔텍,1
A067920,이글루시큐리티,1
A067990,도이치모터스,1
A068050,팬엔터테인먼트,1
A068240,다원시스,1
A068330,일신바이오,1
A068760,셀트리온제약,1
A068790,DMS,1
A068930,디지털대성,1
A068940,아이씨케이,1
A069080,웹젠,1
A069110,코스온,1
A069140,누리플랜,1
A069330,유아이디,1
A069410,엔텔스,1
A069510,에스텍,1
A069540,라이트론,1
A069920,아이에스이커머스,1
A070300,한솔시큐어,1
A070590,한솔인티큐브,1
A071200,인피니트헬스케어,1
A071280,로체시스템즈,1
A071460,대유위니아,1
A071670,에이테크솔루션,1
A071850,캐스텍코리아,1
A072020,중앙백신,1
A072470,우리산업홀딩스,1
A072520,제넨바이오,1
A072770,네오디안테크놀로지,1
A072870,메가스터디,1
A072950,빛샘전자,1
A072990,에이치시티,1
A073010,케이에스피,1
A073070,에스모,1
A073110,엘엠에스,1
A073190,듀오백,1
A073490,이노와이어리스,1
A073540,에프알텍,1
A073560,우리손에프앤지,1
A073570,WI,1
A073640,삼원테크,1
A074430,아미노로직스,1
A074600,원익QnC,1
A075130,플랜티넷,1
A075970,동국알앤에스,1
A076080,웰크론한텍,1
A076610,해성옵틱스,1
A077280,한컴지엠디,1
A077360,덕산하이메탈,1
A078020,이베스트투자증권,1
A078070,유비쿼스홀딩스,1
A078130,국일제지,1
A078140,대봉엘에스,1
A078150,HB테크놀러지,1
A078160,메디포스트,1
A078340,컴투스,1
A078350,한양디지텍,1
A078590,두올산업,1
A078600,대주전자재료,1
A078650,코렌,1
A078860,아이오케이,1
A078890,가온미디어,1
A078940,코드네이처,1
A079000,와토스코리아,1
A079170,한창산업,1
A079190,EMW,1
A079370,제우스,1
A079650,서산,1
A079810,디이엔티,1
A079940,가비아,1
A079950,인베니아,1
A079960,동양이엔피,1
A079970,투비소프트,1
A080000,에스엔유,1
A080010,이상네트웍스,1
A080160,모두투어,1
A080220,제주반도체,1
A080420,모다이노칩,1
A080440,에스제이케이,1
A080470,성창오토텍,1
A080520,오디텍,1
A080530,코디,1
A080580,오킨스전자,1
A080720,한국유니온제약,1
A081150,티플랙스,1
A081580,성우전자,1
A082210,옵트론텍,1
A082270,젬백스,1
A082660,삼우엠스,1
A082800,루미마이크로,1
A082850,우리이티아이,1
A082920,비츠로셀,1
A083310,엘오티베큠,1
A083450,GST,1
A083470,KJ프리텍,1
A083500,에프엔에스테크,1
A083550,케이엠,1
A083640,인콘,1
A083650,비에이치아이,1
A083660,CSA 코스믹,1
A083790,크리스탈,1
A083930,아바코,1
A084110,휴온스글로벌,1
A084180,수성,1
A084370,유진테크,1
A084650,랩지노믹스,1
A084730,팅크웨어,1
A084990,바이로메드,1
A085370,루트로닉,1
A08537M,루트로닉3우C,1
A085660,차바이오텍,1
A085670,뉴프렉스,1
A085810,알티캐스트,1
A085910,네오티스,1
A086040,바이오톡스텍,1
A086060,진바이오텍,1
A086250,화신테크,1
A086390,유니테스트,1
A086450,동국제약,1
A086520,에코프로,1
A086670,비엠티,1
A086820,바이오솔루션,1
A086890,이수앱지스,1
A086900,메디톡스,1
A086960,한컴MDS,1
A086980,쇼박스,1
A087010,펩트론,1
A087260,모바일어플라이언스,1
A087600,픽셀플러스,1
A087730,네패스신소재,1
A088130,동아엘텍,1
A088290,이원컴포텍,1
A088390,이녹스,1
A088800,에이스테크,1
A088910,동우팜투테이블,1
A089010,켐트로닉스,1
A089030,테크윙,1
A089140,넥스턴,1
A089150,케이씨티,1
A089230,THE E&M,1
A089530,에이티세미콘,1
A089600,나스미디어,1
A089790,제이티,1
A089850,유비벨록스,1
A089890,코세스,1
A089970,에이피티씨,1
A089980,상아프론테크,1
A090150,광진윈텍,1
A090360,로보스타,1
A090410,덕신하우징,1
A090460,비에이치,1
A090470,제이스텍,1
A090710,디에스티로봇,1
A090740,연이정보통신,1
A090850,이지웰페어,1
A091120,이엠텍,1
A091340,S&K폴리텍,1
A091440,텔레필드,1
A091580,상신이디피,1
A091590,남화토건,1
A091700,파트론,1
A091970,나노캠텍,1
A091990,셀트리온헬스케어,1
A092040,아미코젠,1
A092070,디엔에프,1
A092130,이크레더블,1
A092300,현우산업,1
A092460,한라IMS,1
A092600,앤씨앤,1
A092730,네오팜,1
A092870,엑시콘,1
A093190,빅솔론,1
A093320,케이아이엔엑스,1
A093380,풍강,1
A093520,매커스,1
A093640,다믈멀티미디어,1
A093920,서원인텍,1
A094170,동운아나텍,1
A094190,이엘케이,1
A094360,칩스앤미디어,1
A094480,갤럭시아컴즈,1
A094820,일진파워,1
A094840,슈프리마에이치큐,1
A094850,참좋은여행,1
A094860,코닉글로리,1
A094940,푸른기술,1
A094970,제이엠티,1
A095190,이엠코리아,1
A095270,웨이브일렉트로,1
A095340,ISC,1
A095500,미래나노텍,1
A095610,테스,1
A095660,네오위즈,1
A095700,제넥신,1
A095910,에스에너지,1
A096040,이트론,1
A096240,청담러닝,1
A096350,대창솔루션,1
A096530,씨젠,1
A096610,알에프세미,1
A096630,에스코넥,1
A096640,멜파스,1
A096690,제이스테판,1
A096870,엘디티,1
A097520,엠씨넥스,1
A097780,에스맥,1
A097800,윈팩,1
A097870,효성오앤비,1
A098120,마이크로컨텍솔,1
A098460,고영,1
A098660,에스티오,1
A099190,아이센스,1
A099220,SDN,1
A099320,쎄트렉아이,1
A099410,동방선기,1
A099440,스맥,1
A099520,ITX엠투엠,1
A099750,이지케어텍,1
A100030,모바일리더,1
A100090,삼강엠앤티,1
A100120,뷰웍스,1
A100130,동국S&C,1
A100590,머큐리,1
A100660,서암기계공업,1
A100700,세운메디칼,1
A100790,미래에셋벤처투자,1
A101000,디엠씨,1
A101160,월덱스,1
