index,addr,index_code
코스피 증권 ,http://marketdata.krx.co.kr/contents/COM/GenerateOTP.jspx?name=fileDown&filetype=xls&url=MKD/13/1301/13010102/mkd13010102&type=3&ind_type=1024&period_strt_dd=20190419&period_end_dd=20190426&pagePath=%2Fcontents%2FMKD%2F13%2F1301%2F13010102%2FMKD13010102.jsp,1024
코스피 보험 ,http://marketdata.krx.co.kr/contents/COM/GenerateOTP.jspx?name=fileDown&filetype=xls&url=MKD/13/1301/13010102/mkd13010102&type=3&ind_type=1025&period_strt_dd=20190419&period_end_dd=20190426&pagePath=%2Fcontents%2FMKD%2F13%2F1301%2F13010102%2FMKD13010102.jsp,1025
코스피 서비스업 ,http://marketdata.krx.co.kr/contents/COM/GenerateOTP.jspx?name=fileDown&filetype=xls&url=MKD/13/1301/13010102/mkd13010102&type=3&ind_type=1026&period_strt_dd=20190419&period_end_dd=20190426&pagePath=%2Fcontents%2FMKD%2F13%2F1301%2F13010102%2FMKD13010102.jsp,1026
코스피 200 건설,http://marketdata.krx.co.kr/contents/COM/GenerateOTP.jspx?name=fileDown&filetype=xls&url=MKD/13/1301/13010102/mkd13010102&type=3&ind_type=1151&period_strt_dd=20190419&period_end_dd=20190426&pagePath=%2Fcontents%2FMKD%2F13%2F1301%2F13010102%2FMKD13010102.jsp,1151
코스피 200 중공업,http://marketdata.krx.co.kr/contents/COM/GenerateOTP.jspx?name=fileDown&filetype=xls&url=MKD/13/1301/13010102/mkd13010102&type=3&ind_type=1152&period_strt_dd=20190419&period_end_dd=20190426&pagePath=%2Fcontents%2FMKD%2F13%2F1301%2F13010102%2FMKD13010102.jsp,1152
코스피 200 철강/소재,http://marketdata.krx.co.kr/contents/COM/GenerateOTP.jspx?name=fileDown&filetype=xls&url=MKD/13/1301/13010102/mkd13010102&type=3&ind_type=1153&period_strt_dd=20190419&period_end_dd=20190426&pagePath=%2Fcontents%2FMKD%2F13%2F1301%2F13010102%2FMKD13010102.jsp,1153
코스피 200 에너지/화학,http://marketdata.krx.co.kr/contents/COM/GenerateOTP.jspx?name=fileDown&filetype=xls&url=MKD/13/1301/13010102/mkd13010102&type=3&ind_type=1154&period_strt_dd=20190419&period_end_dd=20190426&pagePath=%2Fcontents%2FMKD%2F13%2F1301%2F13010102%2FMKD13010102.jsp,1154
코스피 200 정보기술,http://marketdata.krx.co.kr/contents/COM/GenerateOTP.jspx?name=fileDown&filetype=xls&url=MKD/13/1301/13010102/mkd13010102&type=3&ind_type=1155&period_strt_dd=20190419&period_end_dd=20190426&pagePath=%2Fcontents%2FMKD%2F13%2F1301%2F13010102%2FMKD13010102.jsp,1155
코스피 200 금융업,http://marketdata.krx.co.kr/contents/COM/GenerateOTP.jspx?name=fileDown&filetype=xls&url=MKD/13/1301/13010102/mkd13010102&type=3&ind_type=1156&period_strt_dd=20190419&period_end_dd=20190426&pagePath=%2Fcontents%2FMKD%2F13%2F1301%2F13010102%2FMKD13010102.jsp,1156
코스피 200 생활소비재,http://marketdata.krx.co.kr/contents/COM/GenerateOTP.jspx?name=fileDown&filetype=xls&url=MKD/13/1301/13010102/mkd13010102&type=3&ind_type=1157&period_strt_dd=20190419&period_end_dd=20190426&pagePath=%2Fcontents%2FMKD%2F13%2F1301%2F13010102%2FMKD13010102.jsp,1157
